image,tp,fp,fn,precision,recall,f1,mean_iou,num_preds,num_gts
218_png.rf.4b34346c6be99f0669cce0e52d621fd1.jpg,2,17,15,0.105263158,0.117647059,0.111111111,0.554001689,19,17
91_png.rf.77f79ee401a2f8a8db2da0fada439eeb.jpg,1,6,11,0.142857143,0.083333333,0.105263157,0.808573782,7,12
434_png.rf.2f6b40e110e0977f5938b8abdbbb0f4e.jpg,2,20,19,0.090909091,0.095238095,0.093023255,0.63126564,22,21
445_png.rf.8eb42c4ae8a42f4bdea1dc8897aecee8.jpg,2,19,20,0.095238095,0.090909091,0.093023255,0.548143864,21,22
435_png.rf.f5424c7c2290c22fe29b39f524add9a4.jpg,1,16,12,0.058823529,0.076923077,0.066666666,0.799464643,17,13
106_png.rf.e8bed2b930034e4d2f851046950f3be8.jpg,1,16,12,0.058823529,0.076923077,0.066666666,0.614954591,17,13
409_png.rf.521cdf71e76ba47317821391039c281b.jpg,1,13,16,0.071428571,0.058823529,0.064516129,0.810240686,14,17
107_png.rf.1bdf064303f7604fca4b17a856e07baa.jpg,1,18,18,0.052631579,0.052631579,0.052631578,0.577039063,19,19
104_png.rf.30005a1f6d961ee0e6d9103b1f2e4271.jpg,1,31,19,0.03125,0.05,0.038461538,0.589111984,32,20
94_png.rf.0fc859f2babc8c9dba341d2d0caedf33.jpg,0,24,38,0,0,0,0,24,38
95_png.rf.060dc158332c3a3511a115c2a8301aa8.jpg,0,19,32,0,0,0,0,19,32
401_png.rf.7e47bd0790ffb2757ba50b81cd087d27.jpg,0,15,25,0,0,0,0,15,25
93_png.rf.0bfc825c2e1edc83739f356bc24e6e18.jpg,0,12,20,0,0,0,0,12,20
97_png.rf.8a80d6e5de1206297ad00ce4ec6e1521.jpg,0,10,18,0,0,0,0,10,18
